group	title	gh_page	repo
Group 1	Make an Earthquake	https://feikibigpin.github.io/Make-an-Earthquake/	https://github.com/feikibigpin/Make-an-Earthquake
Group 2	Wasteland	https://nitasamoe.github.io/gamev02/	https://github.com/Nitasamoe/gamev02
Group 3	Sleeping Journey	https://jandornig.github.io/SLEEP_merge/	https://github.com/jandornig/SLEEP_merge
Group 4	Iki	https://giuliagal93.github.io/iki-04/	https://github.com/giuliagal93/iki-04
Group 5	Under the sky of Dresden	https://chiaraforzoni.github.io/ESAMECOD/	https://github.com/chiaraforzoni/ESAMECOD
Group 6	Anybody	https://estestest.github.io/anybody/	https://github.com/estestest/anybody
Group 7	The journey of life	https://carlaj29.github.io/LIFE-JOURNEY/	https://github.com/carlaj29/LIFE-JOURNEY
Group 8	One Billion iPhones	https://drawwithcode.github.io/2017-iphone/	https://github.com/drawwithcode/2017-iphone
Group 9	Human vs Animals 1	https://leechungwei.github.io/animal-speed/	https://github.com/LEECHUNGWEI/animal-speed
Group 9	Human vs Animals 2	https://juliacon1991.github.io/Final-Coding-Compare-human-s-weight-with-animals-/	https://github.com/Juliacon1991/Final-Coding-Compare-human-s-weight-with-animals-
Group 10	Jack doesn’t waste	https://jackdoesntwaste.github.io/water/	https://github.com/JackDoesntWaste/water
Group 11	Sadness of Eyes	https://gensonguan.github.io/Sadness-of-eyes-Feeling-eye-disease/	https://github.com/GensonGuan/Sadness-of-eyes-Feeling-eye-disease
Group 12	Keep Alive	https://liyanfei000.github.io/G12_Keep-Alive/	https://github.com/liyanfei000/G12_Keep-Alive
